name,url,album,date,artist,genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Foundations of Stone,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),https://open.spotify.com/track/4BryltvSec6pZp0cEhjM9E,2002-12-02,Howard Shore,canadian classical,47,0.0844,0.321,4,-15.027,0,0.0548,0.655,0.842,0.0507,0.0696,81.563,231960,4
The Taming of Smeagol,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),https://open.spotify.com/track/2C0OjnGfF3u9HMwDfOvLSJ,2002-12-02,Howard Shore,canadian classical,45,0.0775,0.0289,0,-26.725,1,0.0383,0.755,0.325,0.0859,0.0475,174.446,168907,5
The Riders of Rohan,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),https://open.spotify.com/track/1mJxXKuqwo0TBwf13vBUKH,2002-12-02,Howard Shore,canadian classical,54,0.0829,0.301,7,-14.301,1,0.0418,0.746,0.851,0.112,0.0752,171.288,245533,4
The Passage of the Marshes,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),https://open.spotify.com/track/5LpkX1NtwX7vnVoGetUa0z,2002-12-02,Howard Shore,canadian classical,45,0.135,0.1,4,-24.384,0,0.0411,0.505,0.918,0.115,0.0322,82.564,166200,4
The Uruk-hai,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),https://open.spotify.com/track/6XzqQBPwLws8fUH2KRBf7d,2002-12-02,Howard Shore,canadian classical,53,0.115,0.421,2,-14.503,0,0.0507,0.754,0.923,0.119,0.207,84.198,178493,3
The King of the Golden Hall,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),https://open.spotify.com/track/2O8AQadTJzQ3wdhSNRHdYg,2002-12-02,Howard Shore,canadian classical,54,0.144,0.074,4,-21.754,0,0.0363,0.794,0.722,0.105,0.0346,139.327,229440,4
The Black Gate Is Closed,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),https://open.spotify.com/track/2v9YfAK8Cf5obcx3WFS4q7,2002-12-02,Howard Shore,canadian classical,44,0.125,0.251,9,-19.081,0,0.043,0.816,0.919,0.105,0.0544,88.363,197667,3
Evenstar,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),https://open.spotify.com/track/1TQKEwq4y9SkNciJuisE1m,2002-12-02,Howard Shore,canadian classical,62,0.122,0.0407,4,-26.194,0,0.0457,0.96,0.847,0.104,0.0342,74.418,195600,5
The White Rider,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),https://open.spotify.com/track/4cnKkXvh0WiFvk0tibAgRW,2002-12-02,Howard Shore,canadian classical,45,0.113,0.169,7,-16.208,1,0.0356,0.905,0.955,0.121,0.0583,93.957,148360,3
Treebeard,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),https://open.spotify.com/track/1ssKMFrOyRUa0hn2nFvRnR,2002-12-02,Howard Shore,canadian classical,43,0.179,0.143,5,-23.406,0,0.0401,0.735,0.876,0.129,0.0423,91.667,163707,4
The Leave Taking,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),https://open.spotify.com/track/2ftHoU551MJUEaSeNpQDXY,2002-12-02,Howard Shore,canadian classical,47,0.109,0.0324,4,-30.259,0,0.0411,0.951,0.954,0.0873,0.0312,84.505,221493,4
Helm's Deep,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),https://open.spotify.com/track/7wXJbYOY984zsuQFgOV0OK,2002-12-02,Howard Shore,canadian classical,49,0.103,0.422,2,-14.916,0,0.0505,0.753,0.953,0.131,0.0766,174.453,233040,3
The Forbidden Pool,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),https://open.spotify.com/track/0NZEbtZWPpgXiXNqK6tXnP,2002-12-02,Howard Shore,canadian classical,38,0.0742,0.0459,9,-27.364,0,0.0453,0.874,0.935,0.0905,0.029,80.091,327400,4
Breath of Life,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),https://open.spotify.com/track/6yyL0sXRaDi60eVEVJFyZo,2002-12-02,Howard Shore,canadian classical,47,0.142,0.044,3,-20.912,0,0.038,0.928,0.87,0.112,0.0364,73.724,307733,4
The Hornburg,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),https://open.spotify.com/track/4XsY5Iq3dNDIGFRQZ0A4At,2002-12-02,Howard Shore,canadian classical,47,0.16,0.272,0,-17.646,1,0.0369,0.74,0.942,0.0841,0.0383,107.917,276760,4
Forth Eorlingas,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),https://open.spotify.com/track/5MlY3mwE2eQlmaYHONLTaO,2002-12-02,Howard Shore,canadian classical,49,0.186,0.418,9,-10.947,0,0.0348,0.913,0.962,0.126,0.0462,76.704,195667,4
Isengard Unleashed,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),https://open.spotify.com/track/2nGuqMjkSITvVIwV0fCcjB,2002-12-02,Howard Shore,canadian classical,46,0.0758,0.426,4,-14.252,0,0.0422,0.728,0.941,0.149,0.0616,76.893,301040,4
Samwise the Brave,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),https://open.spotify.com/track/0TpzAepHab0NofzyqV6As8,2002-12-02,Howard Shore,canadian classical,52,0.0646,0.0883,7,-20.109,1,0.0447,0.805,0.899,0.117,0.0376,65.689,226000,4
Gollum's Song,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),https://open.spotify.com/track/0mQ1btcyqFDvTpaCFs04cR,2002-12-02,Emilíana Torrini,icelandic indie,50,0.125,0.164,7,-14.239,1,0.0361,0.905,0.0283,0.0903,0.0377,80.453,351333,3
Farewell to Lorien,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),https://open.spotify.com/track/3tEW3BubSpSzJ6GoCT3cV8,2002-12-02,Howard Shore,canadian classical,48,0.0703,0.0789,5,-27.029,0,0.0495,0.957,0.889,0.109,0.0313,75.953,276800,4
